Query	Hit_Accession	Hit_Description
AIPGENE219	sp|Q8N5M1|ATPF2_HUMAN	ATP synthase mitochondrial F1 complex assembly factor 2 OS=Homo sapiens GN=ATPAF2 PE=1 SV=1
AIPGENE220	sp|Q5QNV8|CQ066_MOUSE	Uncharacterized protein C17orf66 homolog OS=Mus musculus GN=Gm11435 PE=2 SV=1
AIPGENE221	sp|Q3UM45|PP1R7_MOUSE	Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus GN=Ppp1r7 PE=1 SV=2
AIPGENE222	tr|A7RL30|A7RL30_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g198667 PE=4 SV=1
AIPGENE223	sp|O35375|NRP2_MOUSE	Neuropilin-2 OS=Mus musculus GN=Nrp2 PE=2 SV=2
AIPGENE224		
AIPGENE225	sp|Q9R283|TRPC2_RAT	Short transient receptor potential channel 2 OS=Rattus norvegicus GN=Trpc2 PE=2 SV=2
AIPGENE226	tr|C3XPS1|C3XPS1_BRAFL	Uncharacterized protein (Fragment) OS=Branchiostoma floridae GN=BRAFLDRAFT_235435 PE=4 SV=1
AIPGENE227	sp|Q4HX89|BTN1_GIBZE	Protein BTN1 OS=Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) GN=BTN1 PE=3 SV=2
AIPGENE228		
AIPGENE229	sp|O08726|GALR2_RAT	Galanin receptor type 2 OS=Rattus norvegicus GN=Galr2 PE=2 SV=1
AIPGENE230	sp|Q4KL91|S36A4_XENLA	Proton-coupled amino acid transporter 4 OS=Xenopus laevis GN=slc36a4 PE=2 SV=1
AIPGENE231		
AIPGENE232		
AIPGENE233	sp|Q6FFQ0|KGSDH_ACIAD	Alpha-ketoglutaric semialdehyde dehydrogenase OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) GN=ACIAD0131 PE=1 SV=1
AIPGENE234	sp|Q9NYQ6|CELR1_HUMAN	Cadherin EGF LAG seven-pass G-type receptor 1 OS=Homo sapiens GN=CELSR1 PE=1 SV=1
AIPGENE235		
AIPGENE236	sp|E9Q555|RN213_MOUSE	E3 ubiquitin-protein ligase RNF213 OS=Mus musculus GN=Rnf213 PE=2 SV=1
AIPGENE237	tr|W4Z4M1|W4Z4M1_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-EhH4_65 PE=4 SV=1
AIPGENE238	tr|A6FEJ4|A6FEJ4_9GAMM	Hep_Hag family OS=Moritella sp. PE36 GN=PE36_04988 PE=4 SV=1
AIPGENE239	sp|Q3MHI8|TM10A_BOVIN	tRNA methyltransferase 10 homolog A OS=Bos taurus GN=TRMT10A PE=2 SV=1
AIPGENE240	sp|Q07DZ7|ASZ1_ORNAN	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 OS=Ornithorhynchus anatinus GN=ASZ1 PE=3 SV=1
AIPGENE241	sp|Q6GLI9|RPA49_XENLA	DNA-directed RNA polymerase I subunit RPA49 OS=Xenopus laevis GN=polr1e PE=2 SV=1
AIPGENE242		
AIPGENE243	sp|O02691|HCD2_BOVIN	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Bos taurus GN=HSD17B10 PE=1 SV=3
AIPGENE244		
AIPGENE245	sp|Q9UK61|F208A_HUMAN	Protein FAM208A OS=Homo sapiens GN=FAM208A PE=1 SV=3
AIPGENE246	sp|Q0VGK3|GLCTK_RAT	Glycerate kinase OS=Rattus norvegicus GN=Glyctk PE=2 SV=1
AIPGENE247		
AIPGENE248	sp|Q5UNW1|YR707_MIMIV	Uncharacterized protein R707 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_R707 PE=4 SV=1
AIPGENE249	sp|Q10138|YAS2_SCHPO	CRAL-TRIO domain-containing protein C3H8.02 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC3H8.02 PE=1 SV=1
AIPGENE250	sp|Q3SX00|ANR46_BOVIN	Ankyrin repeat domain-containing protein 46 OS=Bos taurus GN=ANKRD46 PE=2 SV=1
AIPGENE251	tr|A7SS82|A7SS82_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g247073 PE=4 SV=1
AIPGENE252		
AIPGENE253	tr|A7S9P7|A7S9P7_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g243800 PE=4 SV=1
AIPGENE254	sp|A7S641|ST7_NEMVE	Protein ST7 homolog OS=Nematostella vectensis GN=v1g243132 PE=3 SV=1
AIPGENE255		
AIPGENE256		
AIPGENE257	sp|Q96RY5|CRML_HUMAN	Protein cramped-like OS=Homo sapiens GN=CRAMP1L PE=1 SV=3
AIPGENE258	tr|G4Z036|G4Z036_PHYSP	OTU ovarian tumor-like cysteine protease OS=Phytophthora sojae (strain P6497) GN=PHYSODRAFT_481518 PE=4 SV=1
AIPGENE259	sp|Q95SX7|RTBS_DROME	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1
AIPGENE260	sp|Q14643|ITPR1_HUMAN	Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens GN=ITPR1 PE=1 SV=3
AIPGENE261	gi|340385049|ref|XP_003391023.1|	PREDICTED: hypothetical protein LOC100633611, partial [Amphimedon queenslandica]
AIPGENE262	sp|Q08874|MITF_MOUSE	Microphthalmia-associated transcription factor OS=Mus musculus GN=Mitf PE=1 SV=3
AIPGENE263	sp|Q08874|MITF_MOUSE	Microphthalmia-associated transcription factor OS=Mus musculus GN=Mitf PE=1 SV=3
AIPGENE264	tr|A7SWS8|A7SWS8_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g218706 PE=4 SV=1
AIPGENE265	sp|Q91X46|ARHG3_MOUSE	Rho guanine nucleotide exchange factor 3 OS=Mus musculus GN=Arhgef3 PE=1 SV=1
AIPGENE266	sp|Q62165|DAG1_MOUSE	Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4
AIPGENE267		
AIPGENE268	sp|O02691|HCD2_BOVIN	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Bos taurus GN=HSD17B10 PE=1 SV=3
AIPGENE269	tr|A7SWS8|A7SWS8_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g218706 PE=4 SV=1
AIPGENE270	sp|P08548|LIN1_NYCCO	LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=1 SV=1
AIPGENE271	sp|Q9CQ79|TXND9_MOUSE	Thioredoxin domain-containing protein 9 OS=Mus musculus GN=Txndc9 PE=2 SV=1
AIPGENE272	tr|A7SXQ1|A7SXQ1_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g247996 PE=4 SV=1
AIPGENE273	sp|Q9NBX4|RTXE_DROME	Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1
AIPGENE274	tr|A7RI58|A7RI58_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g197473 PE=4 SV=1
AIPGENE275		
AIPGENE276	tr|K1VH72|K1VH72_TRIAC	Uncharacterized protein OS=Trichosporon asahii var. asahii (strain CBS 8904) GN=A1Q2_05504 PE=4 SV=1
AIPGENE277	sp|Q28685|DAG1_RABIT	Dystroglycan OS=Oryctolagus cuniculus GN=DAG1 PE=1 SV=1
AIPGENE278	sp|Q62165|DAG1_MOUSE	Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4
AIPGENE279	sp|Q62165|DAG1_MOUSE	Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4
AIPGENE280	sp|Q62165|DAG1_MOUSE	Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4
AIPGENE281	sp|Q62165|DAG1_MOUSE	Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4
AIPGENE282		
AIPGENE283		
AIPGENE284	sp|Q98SN7|WNT2B_CHICK	Protein Wnt-2b OS=Gallus gallus GN=WNT2B PE=2 SV=1
AIPGENE285		
AIPGENE286	sp|Q95SX7|RTBS_DROME	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1
AIPGENE287	gi|156354098|ref|XP_001623239.1|	predicted protein [Nematostella vectensis] >gi|156209918|gb|EDO31139.1| predicted protein [Nematostella vectensis]
AIPGENE288		
AIPGENE289	gi|554886995|ref|XP_005953050.1|	PREDICTED: uncharacterized protein LOC102307237 [Haplochromis burtoni]
AIPGENE290		
AIPGENE291	sp|O50655|XERD_SELRU	Integrase/recombinase xerD homolog OS=Selenomonas ruminantium GN=xerD PE=3 SV=1
AIPGENE292	sp|Q8TEL6|TP4AP_HUMAN	Short transient receptor potential channel 4-associated protein OS=Homo sapiens GN=TRPC4AP PE=1 SV=2
AIPGENE293	gi|221130774|ref|XP_002165361.1|	PREDICTED: uncharacterized protein LOC100210439 [Hydra vulgaris]
AIPGENE294	gi|156353262|ref|XP_001622991.1|	predicted protein [Nematostella vectensis] >gi|156209633|gb|EDO30891.1| predicted protein [Nematostella vectensis]
AIPGENE295	sp|Q14202|ZMYM3_HUMAN	Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=1 SV=2
AIPGENE296	tr|V4BM91|V4BM91_LOTGI	Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_164712 PE=4 SV=1
AIPGENE297	tr|A7RS82|A7RS82_NEMVE	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g91376 PE=3 SV=1
AIPGENE298	tr|A7RS82|A7RS82_NEMVE	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g91376 PE=3 SV=1
AIPGENE299		
AIPGENE300		
AIPGENE301	sp|Q6PCN7|HLTF_MOUSE	Helicase-like transcription factor OS=Mus musculus GN=Hltf PE=1 SV=1
AIPGENE302	sp|Q3U1D0|LINES_MOUSE	Protein Lines homolog OS=Mus musculus GN=Lins PE=2 SV=2
AIPGENE303	tr|I1EK29|I1EK29_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE304	sp|P25789|PSA4_HUMAN	Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1
AIPGENE305	tr|C7C211|C7C211_SCHJA	Reverse transcriptase OS=Schistosoma japonicum PE=4 SV=1
AIPGENE306	sp|Q9Z1N9|UN13B_MOUSE	Protein unc-13 homolog B OS=Mus musculus GN=Unc13b PE=2 SV=2
AIPGENE307		
AIPGENE308	sp|Q6IQP3|CALUA_DANRE	Calumenin-A OS=Danio rerio GN=calua PE=2 SV=1
AIPGENE309	sp|P33450|FAT_DROME	Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3
AIPGENE310	gi|156392504|ref|XP_001636088.1|	predicted protein [Nematostella vectensis] >gi|156223188|gb|EDO44025.1| predicted protein [Nematostella vectensis]
AIPGENE311	sp|Q5FVR1|ZDHC4_RAT	Probable palmitoyltransferase ZDHHC4 OS=Rattus norvegicus GN=Zdhhc4 PE=2 SV=1
AIPGENE312	tr|C3YY28|C3YY28_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_79909 PE=4 SV=1
AIPGENE313	sp|Q6NZ07|NCLN_DANRE	Nicalin-1 OS=Danio rerio GN=ncl1 PE=2 SV=1
AIPGENE314		
AIPGENE315	sp|P32240|PE2R4_MOUSE	Prostaglandin E2 receptor EP4 subtype OS=Mus musculus GN=Ptger4 PE=2 SV=1
AIPGENE316	sp|P81274|GPSM2_HUMAN	G-protein-signaling modulator 2 OS=Homo sapiens GN=GPSM2 PE=1 SV=3
AIPGENE317	sp|P54422|GGT_BACSU	Gamma-glutamyltranspeptidase OS=Bacillus subtilis (strain 168) GN=ggt PE=1 SV=1
AIPGENE318	sp|Q5RDG3|PREP_PONAB	Presequence protease, mitochondrial OS=Pongo abelii GN=PITRM1 PE=2 SV=1
AIPGENE319	sp|Q9UKP4|ATS7_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens GN=ADAMTS7 PE=1 SV=2
AIPGENE320	sp|Q9UKP4|ATS7_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens GN=ADAMTS7 PE=1 SV=2
AIPGENE321	tr|A7RGE1|A7RGE1_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g238062 PE=4 SV=1
AIPGENE322	sp|Q87040|POL_SFVCP	Pro-Pol polyprotein OS=Simian foamy virus (isolate chimpanzee) GN=pol PE=3 SV=1
AIPGENE323	tr|A7SGB2|A7SGB2_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g245085 PE=4 SV=1
AIPGENE324	sp|O88866|HUNK_MOUSE	Hormonally up-regulated neu tumor-associated kinase OS=Mus musculus GN=Hunk PE=2 SV=1
AIPGENE325	sp|Q96AY4|TTC28_HUMAN	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4
AIPGENE326	sp|Q6PCN7|HLTF_MOUSE	Helicase-like transcription factor OS=Mus musculus GN=Hltf PE=1 SV=1
AIPGENE327	gi|156364510|ref|XP_001626390.1|	predicted protein [Nematostella vectensis] >gi|156213265|gb|EDO34290.1| predicted protein [Nematostella vectensis]
AIPGENE328	sp|Q8I7P9|POL5_DROME	Retrovirus-related Pol polyprotein from transposon opus OS=Drosophila melanogaster GN=pol PE=4 SV=1
AIPGENE329	sp|P25306|THD1_SOLLC	Threonine dehydratase biosynthetic, chloroplastic OS=Solanum lycopersicum GN=TD PE=1 SV=1
AIPGENE330	sp|Q9NY37|ASIC5_HUMAN	Acid-sensing ion channel 5 OS=Homo sapiens GN=ASIC5 PE=1 SV=1
AIPGENE331	sp|P22897|MRC1_HUMAN	Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1 PE=1 SV=1
AIPGENE332	sp|O14795|UN13B_HUMAN	Protein unc-13 homolog B OS=Homo sapiens GN=UNC13B PE=1 SV=2
AIPGENE333		
AIPGENE334	sp|Q8BH97|RCN3_MOUSE	Reticulocalbin-3 OS=Mus musculus GN=Rcn3 PE=2 SV=1
AIPGENE335	gi|157129510|ref|XP_001655402.1|	hypothetical protein AaeL_AAEL011506 [Aedes aegypti] >gi|108872179|gb|EAT36404.1| AAEL011506-PA [Aedes aegypti]
AIPGENE336	sp|O00468|AGRIN_HUMAN	Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5
AIPGENE337	sp|P35187|SGS1_YEAST	ATP-dependent helicase SGS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SGS1 PE=1 SV=1
AIPGENE338	sp|Q0P4Q4|FRMD3_XENTR	FERM domain-containing protein 3 OS=Xenopus tropicalis GN=frmd3 PE=2 SV=2
AIPGENE339	sp|Q61361|PGCB_MOUSE	Brevican core protein OS=Mus musculus GN=Bcan PE=1 SV=2
AIPGENE340	sp|Q9D9Z5|DDA1_MOUSE	DET1- and DDB1-associated protein 1 OS=Mus musculus GN=Dda1 PE=2 SV=1
AIPGENE341	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE342	gi|156356402|ref|XP_001623913.1|	predicted protein [Nematostella vectensis] >gi|156210655|gb|EDO31813.1| predicted protein [Nematostella vectensis]
AIPGENE343	sp|P34457|YMD3_CAEEL	Putative uncharacterized transposon-derived protein F54H12.3 OS=Caenorhabditis elegans GN=F54H12.3 PE=5 SV=1
AIPGENE344	tr|A7RU50|A7RU50_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g240720 PE=4 SV=1
AIPGENE345	sp|P29691|EF2_CAEEL	Elongation factor 2 OS=Caenorhabditis elegans GN=eef-2 PE=1 SV=4
AIPGENE346	sp|Q8BMK0|CEP85_MOUSE	Centrosomal protein of 85 kDa OS=Mus musculus GN=Cep85 PE=2 SV=2
AIPGENE347	sp|Q7T1N4|ASIC1_OPSTA	Acid-sensing ion channel 1 OS=Opsanus tau GN=asic1 PE=1 SV=1
AIPGENE348	sp|Q9H5X1|FA96A_HUMAN	MIP18 family protein FAM96A OS=Homo sapiens GN=FAM96A PE=1 SV=1
AIPGENE349		
AIPGENE350	sp|Q6GPE5|FEM1B_XENLA	Protein fem-1 homolog B OS=Xenopus laevis GN=fem1b PE=2 SV=1
AIPGENE351	sp|Q2YY67|TDCB_STAAB	L-threonine dehydratase catabolic TdcB OS=Staphylococcus aureus (strain bovine RF122 / ET3-1) GN=tdcB PE=3 SV=2
AIPGENE352		
AIPGENE353	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE354	sp|Q90705|EF2_CHICK	Elongation factor 2 OS=Gallus gallus GN=EEF2 PE=1 SV=3
AIPGENE355	sp|Q61830|MRC1_MOUSE	Macrophage mannose receptor 1 OS=Mus musculus GN=Mrc1 PE=1 SV=2
AIPGENE356	sp|Q9U3W6|MAB21_DROME	Protein mab-21 OS=Drosophila melanogaster GN=mab-21 PE=1 SV=2
AIPGENE357	tr|D7EJ93|D7EJ93_TRICA	Putative uncharacterized protein OS=Tribolium castaneum GN=TcasGA2_TC010249 PE=4 SV=1
AIPGENE358	tr|Q90Z50|Q90Z50_TAKRU	Putative reverse transcriptase OS=Takifugu rubripes PE=4 SV=1
AIPGENE359		
AIPGENE360		
AIPGENE361	sp|P58659|EVA1C_MOUSE	Protein eva-1 homolog C OS=Mus musculus GN=Eva1c PE=2 SV=2
AIPGENE362	sp|Q6PF24|PREP_XENLA	Presequence protease, mitochondrial OS=Xenopus laevis GN=pitrm1 PE=2 SV=1
AIPGENE363	tr|H2ML91|H2ML91_ORYLA	Uncharacterized protein (Fragment) OS=Oryzias latipes PE=4 SV=1
AIPGENE364	sp|Q9CQ46|EFCB2_MOUSE	EF-hand calcium-binding domain-containing protein 2 OS=Mus musculus GN=Efcab2 PE=2 SV=1
AIPGENE365	sp|Q9UBG0|MRC2_HUMAN	C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2
AIPGENE366	tr|I1EXI7|I1EXI7_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE367		
AIPGENE368	sp|Q95SX7|RTBS_DROME	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1
AIPGENE369		
AIPGENE370	sp|O35240|ASIC3_RAT	Acid-sensing ion channel 3 OS=Rattus norvegicus GN=Asic3 PE=1 SV=1
AIPGENE371	gi|156396972|ref|XP_001637666.1|	predicted protein [Nematostella vectensis] >gi|156224780|gb|EDO45603.1| predicted protein [Nematostella vectensis]
AIPGENE372		
AIPGENE373	sp|Q7ZYG4|OSTF1_XENLA	Osteoclast-stimulating factor 1 OS=Xenopus laevis GN=ostf1 PE=2 SV=1
AIPGENE374	sp|P04323|POL3_DROME	Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster GN=pol PE=4 SV=1
AIPGENE375	sp|Q7Z2Z2|ETUD1_HUMAN	Elongation factor Tu GTP-binding domain-containing protein 1 OS=Homo sapiens GN=EFTUD1 PE=1 SV=2
AIPGENE376		
AIPGENE377	sp|Q86XR8|CEP57_HUMAN	Centrosomal protein of 57 kDa OS=Homo sapiens GN=CEP57 PE=1 SV=2
AIPGENE378	tr|Q7UIF7|Q7UIF7_RHOBA	Probable alcohol dehydrogenase [acceptor] OS=Rhodopirellula baltica (strain SH1) GN=adh PE=4 SV=1
AIPGENE379		
AIPGENE380		
AIPGENE381		
AIPGENE382		
AIPGENE383	sp|Q9QYC3|BHA15_MOUSE	Class A basic helix-loop-helix protein 15 OS=Mus musculus GN=Bhlha15 PE=2 SV=1
AIPGENE384		
AIPGENE385		
AIPGENE386		
AIPGENE387	sp|Q96AH0|SOSB2_HUMAN	SOSS complex subunit B2 OS=Homo sapiens GN=NABP1 PE=1 SV=1
AIPGENE388	sp|Q9XTA5|HIF1A_BOVIN	Hypoxia-inducible factor 1-alpha OS=Bos taurus GN=HIF1A PE=2 SV=1
AIPGENE389	sp|Q9XTA5|HIF1A_BOVIN	Hypoxia-inducible factor 1-alpha OS=Bos taurus GN=HIF1A PE=2 SV=1
AIPGENE390	sp|Q9LMK2|LSH6_ARATH	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 OS=Arabidopsis thaliana GN=LSH6 PE=1 SV=1
AIPGENE391	sp|Q9D1Q6|ERP44_MOUSE	Endoplasmic reticulum resident protein 44 OS=Mus musculus GN=Erp44 PE=1 SV=1
AIPGENE392	sp|P10978|POLX_TOBAC	Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Nicotiana tabacum PE=2 SV=1
AIPGENE393	sp|Q9WU78|PDC6I_MOUSE	Programmed cell death 6-interacting protein OS=Mus musculus GN=Pdcd6ip PE=1 SV=3
AIPGENE394		
AIPGENE395	sp|Q9W6C5|PDC6I_XENLA	Programmed cell death 6-interacting protein OS=Xenopus laevis GN=pdcd6ip PE=1 SV=1
AIPGENE396	gi|525030819|ref|XP_005062789.1|	PREDICTED: trichohyalin-like, partial [Ficedula albicollis]
AIPGENE397	tr|R7V392|R7V392_CAPTE	Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_200235 PE=4 SV=1
AIPGENE398	gi|156392086|ref|XP_001635880.1|	predicted protein [Nematostella vectensis] >gi|156222978|gb|EDO43817.1| predicted protein [Nematostella vectensis]
AIPGENE399	tr|W5L0I8|W5L0I8_ASTMX	Uncharacterized protein OS=Astyanax mexicanus PE=4 SV=1
AIPGENE400	sp|Q9Z0W3|NU160_MOUSE	Nuclear pore complex protein Nup160 OS=Mus musculus GN=Nup160 PE=1 SV=2
AIPGENE401	sp|P09023|HXB6_MOUSE	Homeobox protein Hox-B6 OS=Mus musculus GN=Hoxb6 PE=2 SV=2
AIPGENE402	tr|I1FRW2|I1FRW2_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE403	gi|156373099|ref|XP_001629371.1|	predicted protein [Nematostella vectensis] >gi|156216370|gb|EDO37308.1| predicted protein [Nematostella vectensis]
AIPGENE404	sp|Q8C0Y0|PP4R4_MOUSE	Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Mus musculus GN=Ppp4r4 PE=2 SV=2
AIPGENE405	sp|Q8C0Y0|PP4R4_MOUSE	Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Mus musculus GN=Ppp4r4 PE=2 SV=2
AIPGENE406	sp|Q9VAU9|ZN330_DROME	Zinc finger protein 330 homolog OS=Drosophila melanogaster GN=Noa36 PE=1 SV=1
AIPGENE407	sp|P50867|CYSK_EMENI	Cysteine synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=cysB PE=3 SV=2
AIPGENE408	sp|P50867|CYSK_EMENI	Cysteine synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=cysB PE=3 SV=2
AIPGENE409	sp|Q58CV6|KLDC3_BOVIN	Kelch domain-containing protein 3 OS=Bos taurus GN=KLHDC3 PE=2 SV=2
AIPGENE410	sp|Q58CV6|KLDC3_BOVIN	Kelch domain-containing protein 3 OS=Bos taurus GN=KLHDC3 PE=2 SV=2
AIPGENE411	sp|Q8N2M8|CLASR_HUMAN	CLK4-associating serine/arginine rich protein OS=Homo sapiens GN=CLASRP PE=1 SV=4
AIPGENE412	sp|P56962|STX17_HUMAN	Syntaxin-17 OS=Homo sapiens GN=STX17 PE=1 SV=2
AIPGENE413	sp|B0JZG0|S23A2_XENTR	Solute carrier family 23 member 2 OS=Xenopus tropicalis GN=slc23a2 PE=2 SV=1
AIPGENE414	sp|Q8IZ08|GP135_HUMAN	Probable G-protein coupled receptor 135 OS=Homo sapiens GN=GPR135 PE=2 SV=2
AIPGENE415	sp|Q9Z0W3|NU160_MOUSE	Nuclear pore complex protein Nup160 OS=Mus musculus GN=Nup160 PE=1 SV=2
AIPGENE416	sp|Q9W6C5|PDC6I_XENLA	Programmed cell death 6-interacting protein OS=Xenopus laevis GN=pdcd6ip PE=1 SV=1
AIPGENE417	gi|260805094|ref|XP_002597422.1|	hypothetical protein BRAFLDRAFT_122633 [Branchiostoma floridae] >gi|229282687|gb|EEN53434.1| hypothetical protein BRAFLDRAFT_122633 [Branchiostoma floridae]
AIPGENE418		
AIPGENE419		
AIPGENE420		
AIPGENE421	tr|A7SE65|A7SE65_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g244636 PE=4 SV=1
AIPGENE422	tr|A7RSN4|A7RSN4_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g201526 PE=4 SV=1
AIPGENE423	tr|E0VA19|E0VA19_PEDHC	Reverse transcriptase, putative OS=Pediculus humanus subsp. corporis GN=Phum_PHUM025600 PE=4 SV=1
AIPGENE424	tr|A0A022T5J3|A0A022T5J3_9HYME	Reverse transcriptase-like protein-3 OS=Microplitis demolitor GN=K425_1007 PE=4 SV=1
AIPGENE425	sp|Q58A42|DD3_DICDI	Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1
AIPGENE426	sp|Q58A42|DD3_DICDI	Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1
AIPGENE427	sp|P0A334|KCSA_STRLI	pH-gated potassium channel KcsA OS=Streptomyces lividans GN=kcsA PE=1 SV=1
AIPGENE428	sp|O43184|ADA12_HUMAN	Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens GN=ADAM12 PE=1 SV=3
AIPGENE429	sp|Q6PI53|MED24_XENLA	Mediator of RNA polymerase II transcription subunit 24 OS=Xenopus laevis GN=med24 PE=2 SV=1
AIPGENE430	sp|Q66L33|MK16A_XENLA	Protein MAK16 homolog A OS=Xenopus laevis GN=mak16-a PE=2 SV=1
AIPGENE431	sp|Q9UGP5|DPOLL_HUMAN	DNA polymerase lambda OS=Homo sapiens GN=POLL PE=1 SV=1
AIPGENE432	sp|P42858|HD_HUMAN	Huntingtin OS=Homo sapiens GN=HTT PE=1 SV=2
AIPGENE433	sp|O97742|SCNNB_RABIT	Amiloride-sensitive sodium channel subunit beta OS=Oryctolagus cuniculus GN=SCNN1B PE=2 SV=1
AIPGENE434	sp|Q9R1N2|SCNNA_CAVPO	Amiloride-sensitive sodium channel subunit alpha OS=Cavia porcellus GN=SCNN1A PE=2 SV=1
AIPGENE435	sp|P13086|SUCA_RAT	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2
AIPGENE436	sp|O15973|OPSD1_MIZYE	Rhodopsin, GQ-coupled OS=Mizuhopecten yessoensis GN=SCOP1 PE=1 SV=1
AIPGENE437	sp|Q6PIW4|FIGL1_HUMAN	Fidgetin-like protein 1 OS=Homo sapiens GN=FIGNL1 PE=1 SV=2
AIPGENE438	sp|Q0P4P2|FBCD1_XENTR	Fibrinogen C domain-containing protein 1 OS=Xenopus tropicalis GN=fibcd1 PE=2 SV=1
AIPGENE439	sp|Q7TNC8|GLRA2_MOUSE	Glycine receptor subunit alpha-2 OS=Mus musculus GN=Glra2 PE=2 SV=1
AIPGENE440	tr|O16374|O16374_CAEEL	Protein GALT-1 OS=Caenorhabditis elegans GN=galt-1 PE=4 SV=4
AIPGENE441	sp|Q9GZN8|CT027_HUMAN	UPF0687 protein C20orf27 OS=Homo sapiens GN=C20orf27 PE=1 SV=3
AIPGENE442	sp|B3DK16|PCF5A_DANRE	Polycomb group RING finger protein 5-A OS=Danio rerio GN=pcgf5a PE=2 SV=1
